376,238,529,238,529,280,376,280
577,361,578,336,660,339,659,364
546,239,697,231,699,272,548,279
576,340,577,319,649,321,648,342
584,374,586,357,638,363,636,380
804,282,832,282,832,296,804,296
840,298,840,284,876,284,876,298
809,260,836,260,836,272,809,272
850,258,879,258,879,271,850,271
790,294,813,294,813,306,790,306
778,268,808,268,808,284,778,284
808,293,831,293,831,304,808,304
762,296,787,296,787,309,762,309
876,259,899,259,899,272,876,272
802,268,832,268,832,283,802,283
751,281,782,281,782,296,751,296
775,282,806,282,806,297,775,297
