755,91,837,53,855,91,773,129
266,241,266,222,335,222,335,241
252,185,300,185,300,201,252,201
225,226,270,226,270,242,225,242
88,311,120,307,124,332,92,337
27,23,42,-6,158,51,143,81
216,284,216,264,280,264,280,284
284,280,284,261,339,261,339,280
270,243,342,241,343,256,271,259
210,309,262,309,262,328,210,328
224,282,277,282,277,297,224,297
210,185,252,183,253,201,211,203
221,244,263,244,263,260,221,260
263,309,311,306,312,323,264,326
302,200,302,185,343,185,343,200
254,218,255,202,324,204,323,220
281,283,325,281,326,296,282,298
116,306,147,300,152,325,120,331
142,302,172,300,174,324,144,326
223,205,254,205,254,219,223,219
821,65,875,32,897,68,842,101
