213,174,373,135,398,237,238,277
354,468,419,409,433,424,368,484
266,542,355,464,371,482,283,560
-7,159,35,109,52,124,8,174
35,108,69,70,86,85,52,123
507,50,560,44,562,63,510,69
93,219,142,160,162,176,113,235
303,323,345,303,353,319,311,340
323,292,354,277,361,291,330,306
70,71,104,37,119,52,85,86
703,368,703,355,759,355,759,368
529,183,576,180,577,197,530,200
544,275,588,272,589,290,545,293
286,354,343,322,352,339,296,370
630,561,651,560,655,614,634,615
277,310,321,291,328,308,285,328
549,349,599,346,600,366,550,369
383,61,418,3,434,13,399,71
597,424,647,421,650,470,600,473
725,238,761,238,761,248,725,248
705,249,742,246,743,257,706,259
345,304,380,287,387,301,352,318
681,144,730,141,731,154,682,157
263,344,288,329,294,339,269,354
343,325,373,305,381,319,351,338
285,337,312,321,318,332,292,348
373,95,391,58,408,67,389,104
417,700,448,648,469,660,437,713
139,167,166,134,179,145,152,178
