183,265,186,235,268,244,265,274
1025,404,1026,348,1209,351,1208,407
1026,402,1205,402,1205,435,1026,435
735,200,896,198,897,238,736,240
759,363,759,350,786,350,786,363
782,312,783,300,813,304,812,315
796,331,797,317,864,321,863,335
857,319,925,319,925,332,857,332
812,252,813,240,866,243,865,255
777,361,820,359,821,368,778,370
750,375,769,375,769,384,750,384
1046,191,1046,178,1074,178,1074,191
747,396,747,387,762,387,762,396
756,310,757,302,788,304,787,312
167,631,168,612,305,619,304,638
1019,178,1044,178,1044,191,1019,191
815,299,846,299,846,311,815,311
1020,162,1053,162,1053,177,1020,177
951,383,968,382,970,399,953,400
358,438,359,427,385,429,384,440
748,280,776,279,777,288,749,290
782,274,814,274,814,285,782,285
743,287,768,287,768,297,743,297
742,349,742,338,765,338,765,349
