1090,438,1090,409,1166,409,1166,438
1081,343,1142,340,1143,366,1082,369
1074,375,1111,373,1112,390,1075,392
1019,346,1083,343,1084,370,1020,373
1113,372,1179,370,1180,391,1114,393
1034,378,1071,375,1072,393,1035,396
998,378,1035,378,1035,398,998,398
1112,466,1145,466,1145,483,1112,483
1056,477,1057,462,1111,467,1110,482
1092,466,1093,450,1147,452,1146,468
1148,466,1148,453,1199,453,1199,466
1008,460,1009,444,1061,447,1060,463
1065,415,1099,415,1099,436,1065,436
1045,411,1069,411,1069,430,1045,430
