211,161,214,124,322,130,320,167
93,155,96,116,205,123,202,162
223,122,227,85,358,98,354,136
93,279,93,263,139,263,139,279
135,263,184,263,184,279,135,279
94,114,97,74,182,81,178,122
158,440,191,432,195,449,162,457
154,296,228,294,229,313,155,315
168,331,237,329,238,346,169,348
98,448,155,439,157,457,100,466
94,338,165,334,166,350,95,354
96,410,140,406,141,424,98,428
133,238,134,220,192,222,191,239
91,238,92,221,136,222,135,240
95,302,139,302,139,319,95,319
90,371,188,362,190,384,92,392
184,277,184,261,224,261,224,277
92,203,93,184,179,186,178,205
152,404,190,396,194,414,156,422
128,473,214,457,217,475,131,491
99,482,135,476,139,494,102,500
258,329,341,327,342,343,259,345
294,364,372,357,373,375,296,382
253,405,284,401,286,416,255,420
102,527,148,518,151,536,106,545
