1131,189,1236,176,1239,203,1134,216
1039,283,1093,280,1094,300,1040,303
995,203,1126,189,1129,220,998,233
1081,250,1142,245,1143,266,1082,271
1075,328,1076,314,1104,316,1103,330
1095,282,1136,282,1136,303,1095,303
990,253,1076,251,1077,272,991,274
1005,283,1038,283,1038,299,1005,299
1115,395,1116,379,1151,382,1150,398
937,205,986,202,989,237,939,240
986,326,987,314,1028,317,1027,329
1041,392,1042,376,1112,379,1111,395
1031,328,1032,315,1072,318,1071,331
967,259,999,259,999,273,967,273
1153,396,1154,381,1184,383,1183,398
995,389,996,374,1053,377,1052,392
1108,328,1109,315,1144,317,1143,330
1179,319,1236,319,1236,333,1179,333
