985,166,1072,159,1075,196,987,202
990,317,995,284,1084,296,1080,329
939,211,1015,209,1016,238,940,240
939,100,1007,86,1015,122,946,136
1009,51,1074,30,1084,60,1019,81
1108,199,1272,187,1275,226,1111,238
940,180,984,176,987,203,943,207
1007,87,1107,61,1115,93,1015,119
1017,204,1105,199,1108,232,1019,237
944,291,990,291,990,317,944,317
936,70,980,57,989,87,945,100
964,354,967,322,1024,329,1020,361
1076,160,1125,158,1127,191,1078,193
749,29,851,-6,863,26,761,62
1065,472,1078,437,1258,503,1245,538
1021,362,1024,330,1111,338,1108,370
1162,332,1165,296,1280,304,1277,340
955,443,966,410,1077,447,1066,480
982,53,1010,51,1012,84,984,85
1083,325,1087,292,1165,301,1161,334
